image_id,mask_id,class_name
960746,960746_00000,Lung
960746,960746_00001,Lung
962072,962072_00000,Lung
962072,962072_00001,Lung
960461,960461_00000,Lung
960461,960461_00001,Lung
964460,964460_00000,Lung
964460,964460_00001,Lung
962715,962715_00000,Lung
962715,962715_00001,Lung
963457,963457_00000,Lung
963457,963457_00001,Lung
962726,962726_00000,Lung
962726,962726_00001,Lung
1676606,1676606_00000,Lung
1676606,1676606_00001,Lung
962073,962073_00000,Lung
962073,962073_00001,Lung
964800,964800_00000,Lung
964800,964800_00001,Lung
965232,965232_00000,Lung
965232,965232_00001,Lung
964266,964266_00000,Lung
964266,964266_00001,Lung
965798,965798_00000,Lung
965798,965798_00001,Lung
960983,960983_00000,Lung
960983,960983_00001,Lung
960137,960137_00000,Lung
960137,960137_00001,Lung
963299,963299_00000,Lung
963299,963299_00001,Lung
963700,963700_00000,Lung
963700,963700_00001,Lung
962911,962911_00000,Lung
962911,962911_00001,Lung
961538,961538_00000,Lung
961538,961538_00001,Lung
960296,960296_00000,Lung
960296,960296_00001,Lung
962724,962724_00000,Lung
962724,962724_00001,Lung
961104,961104_00000,Lung
961104,961104_00001,Lung
964007,964007_00000,Lung
964007,964007_00001,Lung
960666,960666_00000,Lung
960666,960666_00001,Lung
959859,959859_00000,Lung
959859,959859_00001,Lung
960034,960034_00000,Lung
960034,960034_00001,Lung
962107,962107_00000,Lung
962107,962107_00001,Lung
961087,961087_00000,Lung
961087,961087_00001,Lung
961768,961768_00000,Lung
961768,961768_00001,Lung
962904,962904_00000,Lung
962904,962904_00001,Lung
962464,962464_00000,Lung
962464,962464_00001,Lung
1676218,1676218_00000,Lung
1676218,1676218_00001,Lung
960168,960168_00000,Lung
960168,960168_00001,Lung
965630,965630_00000,Lung
965630,965630_00001,Lung
1676455,1676455_00000,Lung
1676455,1676455_00001,Lung
961889,961889_00000,Lung
961889,961889_00001,Lung
963562,963562_00000,Lung
963562,963562_00001,Lung
965867,965867_00000,Lung
965867,965867_00001,Lung
962859,962859_00000,Lung
962859,962859_00001,Lung
964498,964498_00000,Lung
964498,964498_00001,Lung
1676688,1676688_00000,Lung
1676688,1676688_00001,Lung
964113,964113_00000,Lung
964113,964113_00001,Lung
964750,964750_00000,Lung
964750,964750_00001,Lung
961015,961015_00000,Lung
961015,961015_00001,Lung
960286,960286_00000,Lung
960286,960286_00001,Lung
965661,965661_00000,Lung
965661,965661_00001,Lung
961626,961626_00000,Lung
961626,961626_00001,Lung
963660,963660_00000,Lung
963660,963660_00001,Lung
963866,963866_00000,Lung
963866,963866_00001,Lung
959830,959830_00000,Lung
959830,959830_00001,Lung
963867,963867_00000,Lung
963867,963867_00001,Lung
1676599,1676599_00000,Lung
1676599,1676599_00001,Lung
959902,959902_00000,Lung
959902,959902_00001,Lung
962480,962480_00000,Lung
962480,962480_00001,Lung
960291,960291_00000,Lung
960291,960291_00001,Lung
964664,964664_00000,Lung
964664,964664_00001,Lung
962063,962063_00000,Lung
962063,962063_00001,Lung
959933,959933_00000,Lung
959933,959933_00001,Lung
964416,964416_00000,Lung
964416,964416_00001,Lung
965572,965572_00000,Lung
